site_id,site_label,site_type,latitude,longitude,modern_country_location,administering_country,former_entity,region_category,exposure_period,metal,source_1,source_2,source_3,source_4,source_5,source_6,source_7,notes
RU-023,Chumikhan,Village,54.67,135.25,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=-3.9 °C; RH=77%; TOW=2075 h/year; precipitation=681 mm/year; SO2≈1 µg/m³; chloride deposition=17.9 mg/(m²·day); corrosion_rate steel=7.3 µm/year, zinc=0.91, copper=0.86, aluminium=0.79 g/(m²·year)."
RU-024,Baidukov Island,Island,53.32,141.47,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=-2.5 °C; RH=83%; TOW=2432 h/year; precipitation=524 mm/year; SO2≈1 µg/m³; chloride deposition=32.1 mg/(m²·day); corrosion_rate steel=14.5 µm/year, zinc=1.65, copper=1.90, aluminium=1.42 g/(m²·year)."
RU-025,Okha,City,53.58,143.02,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=-2.4 °C; RH=83%; TOW=2322 h/year; precipitation=476 mm/year; SO2=5.0 µg/m³; chloride deposition=10.3 mg/(m²·day); corrosion_rate steel=8.6 µm/year, zinc=1.12, copper=0.90, aluminium=0.62 g/(m²·year)."
RU-026,Nikol’skoe,Village,55.23,166.07,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=2.0 °C; RH=85%; TOW=3798 h/year; precipitation=636 mm/year; SO2≈1 µg/m³; chloride deposition=34.2 mg/(m²·day); corrosion_rate steel=28.4 µm/year, zinc=2.63, copper=2.12, aluminium=2.31 g/(m²·year)."
RU-027,Lopatka,Cape site,50.93,156.67,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=1.0 °C; RH=90%; TOW=4760 h/year; precipitation=2502 mm/year; SO2=5.0 µg/m³; chloride deposition=45.2 mg/(m²·day); corrosion_rate steel=31.7 µm/year, zinc=3.20, copper=2.80, aluminium=2.61 g/(m²·year)."
RU-028,Petropavlovsk-Kamchatskii,City,53.05,158.72,Russia,,USSR,"Coastal, urban","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=1.9 °C; RH=72%; TOW=2386 h/year; precipitation=1092 mm/year; SO2=15.0 µg/m³; chloride deposition=11.4 mg/(m²·day); corrosion_rate steel=13.7 µm/year, zinc=2.14, copper=1.08, aluminium=0.75 g/(m²·year)."
RU-029,Nevel’sk,Town,46.68,141.92,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=4.5 °C; RH=74%; TOW=3198 h/year; precipitation=849 mm/year; SO2=15.0 µg/m³; chloride deposition=17.3 mg/(m²·day); corrosion_rate steel=17.9 µm/year, zinc=2.82, copper=1.44, aluminium=1.76 g/(m²·year)."
RU-030,Vladivostok,City,43.13,131.9047,Russia,,USSR,"Coastal, urban","1 month, 1-4 years, varies, 1-year periods, 6 months, 1 year, 2 years, 3 years, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium, Electrical steel, Iron",source_pdfs/s001.pdf,source_pdfs/s002.pdf,source_pdfs/s007.pdf,source_pdfs/s008.pdf,,,,"Table 13: T=4.7 °C; RH=75%; TOW=3951 h/year; precipitation=570 mm/year; SO2=22.5 µg/m³; chloride deposition=20–43 mg/(m²·day); corrosion_rate steel=22–43 µm/year, zinc=1.23–2.82 µm/year, copper=1.35–1.74 µm/year, aluminium=0.70–1.26 g/(m²·year)."
RU-031,Cape Gamov,Cape site,43.0081,133.8013,Russia,,USSR,Coastal,"1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 13: T=4.2 °C; RH=73%; TOW=3497 h/year; precipitation=728 mm/year; SO2≈1 µg/m³; chloride deposition=22.0 mg/(m²·day); corrosion_rate steel=21.9 µm/year, zinc not reported, copper=1.55 µm/year, aluminium=0.99 g/(m²·year)."
RU-032,Gelendzhik,City,45.67,38.5506,Russia,,USSR,Coastal,"1-year periods, varies","Carbon steel, Steel St3, Zinc, Copper, Aluminium",source_pdfs/s002.pdf,,,,,,,
RU-033,Sochi (CSNBR high-altitude station),Research station,43.5853,39.7233,Russia,,USSR,Inland,"1-year periods, varies","Carbon steel, Steel St3, Zinc, Copper, Aluminium",source_pdfs/s002.pdf,,,,,,,
RU-034,Dalniye Zelentsy,Village,69.22245,36.2976,Russia,,USSR,Coastal,"1-year periods, varies","Carbon steel, Steel St3, Zinc, Copper, Aluminium",source_pdfs/s002.pdf,,,,,,,
RU-035,Moscow,City,55.698322,37.57402,Russia,,USSR,"Inland, urban","1-year periods, varies, 1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Steel St3, Zinc, Copper, Aluminium, Weathering steel",source_pdfs/s002.pdf,source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,,
RU-036,Zvenigorod,City,55.7299,36.8553,Russia,,USSR,"Inland, rural","1-year periods, varies, 6 months, 1 year, 2 years, 3 years","Carbon steel, Steel St3, Zinc, Copper, Aluminium, Electrical steel, Iron",source_pdfs/s002.pdf,source_pdfs/s007.pdf,,,,,,
RU-037,Yakutsk,City,62.0355,129.6755,Russia,,USSR,Inland,"1-year periods, varies","Carbon steel, Steel St3, Zinc, Copper, Aluminium",source_pdfs/s002.pdf,,,,,,,
RU-038,Cape Schmidt,Cape site,69.9978,-172.03854,Russia,,USSR,Coastal,Annually,"Carbon steel, Copper, Zinc, Cadmium, Aluminium",source_pdfs/s008.pdf,,,,,,,
RU-039,Cape Chaplin,Cape site,65.08673,-167.62527,Russia,,USSR,Coastal,Annually,"Carbon steel, Copper, Zinc, Cadmium, Aluminium",source_pdfs/s008.pdf,,,,,,,
RU-040,Bilibino,Town,68.25296,166.28659,Russia,,USSR,Inland,Annually,"Carbon steel, Copper, Zinc, Cadmium, Aluminium",source_pdfs/s008.pdf,,,,,,,
RU-041,Pogranichnyy,Town,44.407859,131.38207,Russia,,USSR,Inland,Annually,"Carbon steel, Copper, Zinc, Cadmium, Aluminium",source_pdfs/s008.pdf,,,,,,,
RU-042,St Petersburg,City,59.9311,30.3609,Russia,,,Urban,1 year,"Carbon steel, Weathering steel, Zinc, Copper",source_pdfs/s016.pdf,,,,,,,
SE-001,Stockholm South,City,59.312,18.083,Sweden,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
SE-002,Stockholm Centre,City,59.3293,18.0686,Sweden,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
SE-003,Aspvreten,Rural monitoring site,58.8,17.383333,Sweden,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
US-001,"Research Triangle Park, North Carolina",Research Park,35.9079,-78.875,United States,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
US-002,Steubenville,City,40.3698,-80.6339,United States,,,Industrial,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
US-003,Los Angeles,City,34.0522,-118.2437,United States,,,"Urban, marine","1 year, 2 years, 4 years",Carbon steel,source_pdfs/s013.pdf,,,,,,,
