site_id,site_label,site_type,latitude,longitude,modern_country_location,administering_country,former_entity,region_category,exposure_period,metal,source_1,source_2,source_3,source_4,source_5,source_6,source_7,notes
ES-002,Bilbao,City,43.263,-2.935,Spain,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
ES-003,Toledo,City,39.8628,-4.0273,Spain,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
FI-001,Espoo,City,60.2055,24.6559,Finland,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
FI-002,Ahtari,Town,62.554,24.0619,Finland,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,,,
FI-003,Helsinki,City,60.1935,24.955,Finland,,,"Urban, industrial","1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
FR-001,Paris,City,48.8566,2.3522,France,,,Urban,"1 year, 2 years, 4 years","Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,
GB-001,Lincoln Cathedral,Cathedral,53.234,-0.5417,United Kingdom,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
GB-002,Wells Cathedral,Cathedral,51.2107,-2.6475,United Kingdom,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
GB-003,Clatteringshaws Loch,Locality,55.066,-4.284,United Kingdom,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
GB-004,Stoke Orchard,Village,51.947,-2.108,United Kingdom,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
GB-005,London,City,51.5072,-0.1276,United Kingdom,,,Urban,"1 year, 2 years, 4 years",Carbon steel,source_pdfs/s013.pdf,,,,,,,
GE-001,Batumi,City,41.6635,41.7977,Georgia,,USSR,"Coastal, urban","6 months, 1 year, 2 years, 3 years","Aluminium, Electrical steel, Carbon steel, Iron",source_pdfs/s007.pdf,,,,,,,Strekalov et al. (1990) primary field-test source for electric-motor constructional materials; row is distinct from other papers even where the station/city repeats. Black Sea station; open atmosphere.
GR-001,Athens,City,37.9838,23.7275,Greece,,,Urban,1 year,"Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,,
IL-001,Tel Aviv,City,32.0853,34.7818,Israel,,,Urban,"1 year, 2 years, 4 years",Carbon steel,source_pdfs/s013.pdf,,,,,,,
IT-001,Rome,City,41.9028,12.4964,Italy,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
IT-002,Casaccia,Research centre,42.05,12.3,Italy,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
IT-003,Milan,City,45.4642,9.19,Italy,,,"Urban, industrial","1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
IT-004,Venice,City,45.4408,12.3155,Italy,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
LV-001,Riga,City,56.9496,24.1052,Latvia,,,Urban,1 year,"Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,,
NL-001,Vlaardingen,Port city,51.9125,4.3417,Netherlands,,,"Urban, industrial","1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
NL-002,Eibergen,Town,52.1,6.6612,Netherlands,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
NL-003,Vredepeel,Village,51.5383,5.8679,Netherlands,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
NL-004,Wijnandsrade,Village,50.9054,5.8836,Netherlands,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
NO-001,Sandnes,Sub-arctic test site,67.13,16.07,Norway,,,"Inland, industrial","1 month, 3 months, 1 year, 2 years","Carbon steel, Zinc, Copper, Aluminium, Galvanized steel, Coated steel",source_pdfs/s004.pdf,,,,,,,"Table 7: one-year intervals 01.1984–01.1985, 01.1985–01.1986, 03.1986–03.1987, 03.1987–03.1988; steel=592,449,549,67 g/m²/year; zinc=60,46,50,3; copper=9.0,10.4,7.3,5.5."
NO-002,Furulund,Sub-arctic test site,68.76,17.16,Norway,,,"Inland, industrial","1 month, 3 months, 1 year, 2 years","Carbon steel, Zinc, Copper, Aluminium, Galvanized steel, Coated steel",source_pdfs/s004.pdf,,,,,,,"Table 7: steel=493,431,511,60 g/m²/year; zinc=60,50,43,3; copper=6.8,9.4,6.5,5.8."
NO-003,Lomi,Sub-arctic test site,67.13,16.09,Norway,,,"Inland, industrial","1 month, 3 months, 1 year, 2 years","Carbon steel, Zinc, Copper, Aluminium, Galvanized steel, Coated steel",source_pdfs/s004.pdf,,,,,,,Table 7: steel=488 and 66 g/m²/year; zinc=33 and 4; copper=5.8 and 5.5. No coordinates given in the review.
NO-004,Viksjøfjell,Locality,69.65,30.95,Norway,,,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9: 1990–1991 steel=308 g/m²/year, zinc=24. Table 10: July 1992–July 1993 steel=347, zinc=18.0; July 1992–July 1994 steel=539, zinc=26.8. Coordinates not given in tables."
NO-005,Karpdalen,Locality,69.65,30.54,Norway,,,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9: 1990–1991 steel=180 g/m²/year, zinc=12. Coordinates not given in tables."
NO-006,Svanvik,Village,69.52,30.05,Norway,,,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year, 2 years, 4 years","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel, Weathering steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,"Table 9: 1990–1991 steel=108 g/m²/year, zinc=9.6. Table 10: July 1992–July 1993 steel=145, zinc=7.1; July 1992–July 1994 steel=206, zinc=9.5. Coordinates not given in tables."
NO-007,Noatun,Locality,69.19,30.03,Norway,,,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9: 1990–1991 steel=78 g/m²/year, zinc=5.4. Coordinates not given in tables."
NO-008,Kobbfoss,Waterfall locality,69.38,29.95,Norway,,,Inland,"1 month, 1 year, 3 months","Carbon steel, Galvanized steel, Zinc, Aluminium, Coated steel",source_pdfs/s006.pdf,,,,,,,
NO-009,Oslo,City,59.92,10.69,Norway,,,"Coastal, urban","1980-2026, 1997-2001 (1, 2, 4 years multipollutant), 2005-06 (1-year multipollutant), 2008-09 (1-year trend exposure), 2011-12 (1-year trend exposure), 1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, zinc, copper, aluminium, limestone, modern glass, Weathering steel, Zinc, Aluminium, Copper",https://www.corrosion-sites.com/index.php,source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,
NO-010,Borregaard (Sarpsborg),Industrial site,59.2765,11.1305,Norway,,,Industrial,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
NO-011,Birkenes,Rural monitoring site,58.383333,8.25,Norway,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
PL-001,Katowice,City,50.2649,19.0238,Poland,,,Industrial,1 year,"Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,,
PT-001,Lisbon,City,38.6979,-9.2063,Portugal,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,,,
RU-001,"C1 (Nikel SW, 25 km)",Test site,69.3,29.697,Russia,,USSR,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9 note defines C1 as Nikel (SW, 25 km). 1990–1991 steel=93 g/m²/year, zinc=6.4. Table 10: July 1992–July 1993 steel=163, zinc=8.3; July 1992–July 1994 steel=220, zinc=11.2."
RU-002,"C2 (Nikel NE, 15 km)",Test site,69.51,30.56,Russia,,USSR,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9 note defines C2 as Nikel (NE, 15 km). 1990–1991 steel=261 g/m²/year, zinc=19. Table 10: July 1992–July 1993 steel=306, zinc=21.3; July 1992–July 1994 steel=466, zinc=33.4."
RU-003,C3 (Pechenga),Town,69.56,31.16,Russia,,USSR,"Inland, industrial","1-2 years, 1 month, 3 months, 1 year","Carbon steel, Zinc, Copper, Galvanized steel, Aluminium, Coated steel",source_pdfs/s003.pdf,source_pdfs/s005.pdf,source_pdfs/s006.pdf,,,,,"Table 9 note defines C3 as Pechenga. 1990–1991 steel=214 g/m²/year, zinc=15. Table 10: July 1992–July 1993 steel=264, zinc=15.1; July 1992–July 1994 steel=392, zinc=27.1."
RU-004,Oimyakon,Village,63.47,142.82,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12 reports four Oimyakon rows with TOW=1086, 813, 813, and 273 h/year; steel=1.04, 0.93, 0.22, 0.85 µm/year; zinc=0.25, 0.17, 0.32, 0.13; copper=0.08, 0.08, 0.07, 0.08; aluminium=0.189, 0.189, –, 0.189 g/(m²·year). T=-16.6 °C; RH=72%; precipitation=215 mm/year; SO2≈1 µg/m³."
RU-005,Susuman,City,62.77,148.13,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12: T=-13.6 °C; RH=71%; TOW=985 h/year; precipitation=255 mm/year; SO2=5 µg/m³; corrosion_rate steel=2.18 µm/year, zinc=0.39, copper=0.15, aluminium=0.475 g/(m²·year)."
RU-006,Atka,Village,60.83,151.75,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12: T=-12.0 °C; RH=72%; TOW=987 h/year; precipitation=298 mm/year; SO2≈1 µg/m³; corrosion_rate steel=1.90 µm/year, zinc=0.24, copper=0.11, aluminium=0.165 g/(m²·year)."
RU-007,Bilibino,City,68.03,166.25,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,"Table 12: T=-11.0 °C; RH=73%; TOW=692 h/year; precipitation=173 mm/year; SO2≈1 µg/m³; corrosion_rate steel=0.70 µm/year, zinc=0.23, copper=0.09, aluminium=0.178 g/(m²·year)."
RU-008,Ust’-Omchug,Settlement,61.15,149.63,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12: T=-11.0 °C; RH=68%; TOW=1097 h/year; precipitation=282 mm/year; SO2=5 µg/m³; corrosion_rate steel=1.59 µm/year, zinc=0.41, copper=0.10, aluminium=0.243 g/(m²·year)."
RU-009,Aldan,City,58.6,125.42,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12: T=-6.2 °C; RH=72%; TOW=1333 h/year; precipitation=546 mm/year; SO2=5 µg/m³; corrosion_rate steel=3.20 µm/year, zinc=0.77, copper=0.20, aluminium=0.205 g/(m²·year)."
RU-010,Tynda,City,55.12,124.73,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12: T=-6.5 °C; RH=72%; TOW=1321 h/year; precipitation=525 mm/year; SO2=5 µg/m³; corrosion_rate steel=2.72 µm/year, zinc=0.74, copper=0.18, aluminium=0.281 g/(m²·year)."
RU-011,Klyuchi,Village,56.32,160.84,Russia,,USSR,"Inland, rural","1 month, 1-4 years, varies, Annually","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium, Zinc, Aluminium",source_pdfs/s001.pdf,source_pdfs/s008.pdf,,,,,,"Table 12 gives no coordinates in the review extract. T=-1.2 °C; RH=76%; TOW=1916 h/year; precipitation=562 mm/year; SO2=5 µg/m³; corrosion_rate steel=3.00 µm/year, zinc=0.28, copper=0.32, aluminium=0.311 g/(m²·year)."
